
---------- Begin Simulation Statistics ----------
simSeconds                                   0.007312                       # Number of seconds simulated (Second)
simTicks                                   7312370065                       # Number of ticks simulated (Tick)
finalTick                                  7312370065                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     41.68                       # Real time elapsed on the host (Second)
hostTickRate                                175438556                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1169152                       # Number of bytes of host memory used (Byte)
simInsts                                      8104525                       # Number of instructions simulated (Count)
simOps                                       14471310                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   194443                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     347195                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           455                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         16071144                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        14484358                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        4                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       17877389                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     60                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                13046                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             14991                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   3                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            16025934                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.115529                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.935994                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  10610375     66.21%     66.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1365528      8.52%     74.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    873399      5.45%     80.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    619461      3.87%     84.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1272460      7.94%     91.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    557642      3.48%     95.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    280409      1.75%     97.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    227104      1.42%     98.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    219556      1.37%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              16025934                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     189      0.01%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                 46527      3.40%      3.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      3.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      3.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      3.41% # attempts to use FU when none available (Count)
